ApplesPerWeek,College,Level
2,Sixth,Freshman
5,Marshall,Senior
0,ERC,Junior
5,Sixth,Senior
6,Warren,Senior
1,Seventh,Junior
1,Muir,Junior
7,Sixth,Junior
6,Revelle,Freshman
3,Muir,Sophomore
1,Revelle,Sophomore
3,Revelle,Sophomore
1,Revelle,Sophomore
2,Muir,Freshman
3,Revelle,Junior
3,Sixth,Junior
4,Revelle,Sophomore
2,ERC,Freshman
1,Seventh,Freshman
3,ERC,Freshman
4,Revelle,Freshman
1,Warren,Junior
2,Warren,Junior
1,Warren,Senior
1,Seventh,Sophomore
1,Revelle,Sophomore
2,Sixth,Senior
3,Warren,Junior
4,Revelle,Senior
0,ERC,Freshman
1,Revelle,Freshman
2,Marshall,Sophomore
3,ERC,Sophomore
5,Sixth,Senior
3,ERC,Sophomore
3,Warren,Junior
5,Warren,Senior
2,Sixth,Junior
0,Seventh,Senior
4,Seventh,Freshman
4,ERC,Junior
2,Revelle,Senior
5,ERC,Sophomore
1,Muir,Freshman
1,Warren,Senior
3,Sixth,Senior
1,ERC,Sophomore
1,Seventh,Freshman
1,ERC,Senior
3,Muir,Senior
2,Revelle,Junior
1,Marshall,Senior
2,Marshall,Sophomore
0,Muir,Freshman
2,Revelle,Senior
3,ERC,Senior
0,Sixth,Freshman
4,Muir,Freshman
1,Seventh,Sophomore
2,Muir,Senior
2,Muir,Junior
2,Warren,Freshman
3,Seventh,Sophomore
2,Warren,Freshman
6,Seventh,Freshman
3,Revelle,Sophomore
3,Muir,Freshman
4,Warren,Sophomore
5,Seventh,Junior
3,Muir,Junior
0,Marshall,Sophomore
0,Warren,Sophomore
1,ERC,Sophomore
3,Marshall,Sophomore
4,ERC,Sophomore
3,Warren,Junior
2,Sixth,Junior
5,Revelle,Sophomore
8,ERC,Sophomore
3,Revelle,Junior
3,Revelle,Sophomore
1,Revelle,Senior
2,Muir,Freshman
3,Seventh,Freshman
1,Sixth,Junior
0,Seventh,Senior
4,Muir,Sophomore
1,Revelle,Freshman
3,ERC,Senior
2,Warren,Freshman
4,Seventh,Sophomore
1,Marshall,Freshman
2,Warren,Senior
2,Warren,Sophomore
7,Muir,Junior
4,ERC,Junior
3,Seventh,Sophomore
1,Warren,Senior
3,Warren,Sophomore
3,Muir,Sophomore
4,ERC,Senior
0,Sixth,Junior
1,ERC,Junior
1,Revelle,Senior
2,ERC,Senior
1,ERC,Senior
2,Sixth,Junior
4,Marshall,Junior
6,Sixth,Sophomore
3,Revelle,Junior
0,Revelle,Freshman
1,Seventh,Senior
2,ERC,Sophomore
1,Revelle,Junior
0,Sixth,Freshman
5,Seventh,Senior
4,Revelle,Sophomore
3,ERC,Junior
5,Seventh,Senior
1,Sixth,Sophomore
2,Marshall,Senior
2,Seventh,Freshman
3,ERC,Freshman
1,Revelle,Senior
2,Muir,Junior
1,Muir,Junior
4,Muir,Junior
1,Warren,Sophomore
2,Muir,Senior
3,ERC,Senior
4,Revelle,Freshman
2,Seventh,Sophomore
3,Revelle,Freshman
1,Revelle,Sophomore
5,Sixth,Junior
4,Warren,Freshman
2,Marshall,Senior
2,ERC,Freshman
2,Warren,Senior
2,Revelle,Sophomore
2,Seventh,Junior
3,Seventh,Senior
5,Marshall,Junior
2,Marshall,Sophomore
4,Seventh,Sophomore
0,Marshall,Freshman
5,ERC,Senior
2,ERC,Junior
3,Marshall,Senior
5,Revelle,Sophomore
3,Seventh,Freshman
1,Marshall,Senior
0,Revelle,Junior
0,ERC,Sophomore
4,Muir,Senior
2,Marshall,Sophomore
2,Sixth,Senior
6,Warren,Junior
5,Seventh,Sophomore
1,Marshall,Sophomore
2,Muir,Senior
3,Muir,Freshman
4,ERC,Junior
5,Seventh,Freshman
3,ERC,Freshman
2,Sixth,Freshman
1,Muir,Freshman
5,Sixth,Junior
4,Sixth,Junior
5,ERC,Sophomore
3,Sixth,Freshman
3,Muir,Senior
2,Warren,Freshman
2,Muir,Senior
1,ERC,Sophomore
0,Seventh,Junior
2,Seventh,Freshman
3,ERC,Senior
5,Warren,Freshman
3,Seventh,Freshman
4,Marshall,Junior
0,Sixth,Senior
1,Warren,Senior
2,ERC,Freshman
3,Muir,Freshman
1,Revelle,Freshman
5,Marshall,Freshman
1,ERC,Senior
3,Muir,Junior
0,Warren,Senior
4,Muir,Freshman
5,Muir,Junior
7,ERC,Junior
4,Muir,Sophomore
0,Revelle,Senior
2,Seventh,Sophomore
2,Muir,Freshman
5,Warren,Senior
4,Revelle,Junior
4,Revelle,Senior
1,Seventh,Freshman
2,Revelle,Junior
0,Seventh,Senior
3,Muir,Freshman
3,Marshall,Freshman
2,Sixth,Senior
1,Muir,Senior
2,ERC,Junior
2,ERC,Sophomore
4,Sixth,Senior
3,Warren,Freshman
3,ERC,Freshman
6,Seventh,Sophomore
4,Marshall,Freshman
1,Muir,Junior
8,Revelle,Senior
4,ERC,Junior
0,Revelle,Freshman
2,ERC,Junior
3,Seventh,Senior
3,Seventh,Junior
3,ERC,Freshman
1,Warren,Sophomore
3,Revelle,Sophomore
2,Revelle,Sophomore
1,Muir,Freshman
2,ERC,Freshman
4,ERC,Senior
2,Seventh,Freshman
3,Muir,Sophomore
1,ERC,Junior
2,Seventh,Senior
1,Seventh,Senior
0,Seventh,Freshman
2,ERC,Freshman
2,Marshall,Junior
8,Seventh,Junior
1,Warren,Senior
3,Marshall,Senior
0,Muir,Sophomore
4,Marshall,Junior
5,Marshall,Senior
1,Seventh,Sophomore
4,Marshall,Freshman
0,Marshall,Freshman
1,Sixth,Senior
2,Sixth,Senior
4,Seventh,Junior
2,Seventh,Sophomore
2,Revelle,Freshman
4,Seventh,Freshman
2,ERC,Freshman
3,Sixth,Junior
3,Muir,Junior
4,Muir,Sophomore
5,Sixth,Freshman
2,Revelle,Sophomore
1,ERC,Sophomore
3,Marshall,Senior
5,Muir,Freshman
2,Muir,Junior
4,Marshall,Sophomore
3,Muir,Junior
2,Marshall,Senior
3,Seventh,Junior
2,Seventh,Senior
5,Sixth,Sophomore
5,Marshall,Junior
5,ERC,Senior
1,Sixth,Senior
3,ERC,Freshman
3,Sixth,Senior
3,Warren,Junior
3,Muir,Sophomore
2,Warren,Sophomore
2,Muir,Sophomore
1,Sixth,Freshman
2,Revelle,Sophomore
1,Muir,Junior
2,Revelle,Freshman
5,Warren,Senior
2,Muir,Sophomore
3,Marshall,Freshman
4,Sixth,Junior
5,Warren,Freshman
6,ERC,Freshman
2,Warren,Junior
3,ERC,Sophomore
2,ERC,Sophomore
1,Muir,Freshman
3,ERC,Sophomore
7,Muir,Junior
3,Seventh,Junior
1,Revelle,Senior
7,Revelle,Freshman
2,Marshall,Senior
3,Marshall,Sophomore
1,Revelle,Junior
1,Warren,Senior
3,Warren,Freshman
1,Seventh,Senior
4,Revelle,Freshman
0,Marshall,Junior
0,ERC,Senior
2,Sixth,Sophomore
2,Muir,Junior
3,Warren,Freshman
4,Sixth,Junior
2,Revelle,Freshman
4,Warren,Junior
4,ERC,Senior
1,ERC,Senior
0,Seventh,Sophomore
3,Muir,Junior
5,Marshall,Freshman
0,Warren,Senior
6,Marshall,Junior
2,ERC,Freshman
8,Warren,Freshman
1,Warren,Sophomore
1,ERC,Freshman
5,Seventh,Freshman
5,Revelle,Junior
3,Sixth,Sophomore
1,Sixth,Senior
4,Warren,Freshman
3,Revelle,Junior
3,Sixth,Junior
3,Warren,Senior
2,Warren,Freshman
2,Warren,Sophomore
0,Warren,Junior
6,Muir,Junior
3,Muir,Junior
3,Sixth,Sophomore
2,Revelle,Freshman
4,Sixth,Junior
5,ERC,Sophomore
3,Muir,Freshman
2,Seventh,Junior
3,Muir,Sophomore
3,ERC,Freshman
1,Seventh,Sophomore
0,Muir,Freshman
3,Seventh,Freshman
2,Warren,Freshman
8,Warren,Junior
3,Marshall,Freshman
3,Revelle,Freshman
1,Warren,Senior
2,Revelle,Senior
1,ERC,Senior
1,Muir,Sophomore
3,Marshall,Junior
2,Sixth,Junior
4,Marshall,Senior
4,Seventh,Freshman
3,Revelle,Freshman
3,Revelle,Freshman
4,Warren,Junior
3,Sixth,Junior
2,Sixth,Freshman
2,Marshall,Sophomore
4,Seventh,Junior
5,Sixth,Junior
5,Marshall,Sophomore
2,Revelle,Freshman
2,ERC,Junior
0,ERC,Sophomore
1,ERC,Freshman
5,Seventh,Freshman
3,Muir,Junior
1,Marshall,Senior
3,Muir,Freshman
3,Muir,Freshman
4,Revelle,Sophomore
1,Revelle,Senior
2,ERC,Sophomore
4,Marshall,Junior
2,Muir,Senior
4,Sixth,Senior
2,Marshall,Senior
4,Revelle,Junior
2,Seventh,Junior
5,Marshall,Freshman
2,Marshall,Sophomore
2,Warren,Senior
3,ERC,Junior
3,Seventh,Senior
3,Warren,Senior
5,Revelle,Freshman
1,ERC,Freshman
2,Revelle,Senior
4,Revelle,Senior
3,Sixth,Junior
3,ERC,Junior
2,Seventh,Sophomore
2,Seventh,Senior
5,Seventh,Sophomore
5,Revelle,Senior
0,Revelle,Sophomore
5,ERC,Junior
0,Marshall,Sophomore
5,Sixth,Freshman
9,Sixth,Freshman
3,Seventh,Senior
2,Revelle,Senior
0,Marshall,Freshman
2,ERC,Sophomore
3,Seventh,Freshman
8,Sixth,Freshman
2,ERC,Junior
0,ERC,Sophomore
1,ERC,Senior
5,Muir,Junior
5,Sixth,Junior
5,Muir,Freshman
1,Seventh,Junior
2,Sixth,Sophomore
3,Sixth,Junior
4,Sixth,Sophomore
7,Warren,Junior
4,ERC,Freshman
1,Muir,Junior
2,Marshall,Junior
1,Sixth,Senior
1,Muir,Freshman
2,Seventh,Junior
1,Revelle,Senior
3,Marshall,Freshman
1,ERC,Sophomore
1,Sixth,Junior
2,Revelle,Senior
6,Warren,Junior
3,Muir,Freshman
1,Warren,Junior
2,ERC,Sophomore
4,Seventh,Senior
2,ERC,Senior
1,ERC,Junior
7,Marshall,Senior
3,Muir,Junior
2,Warren,Freshman
3,ERC,Freshman
2,Marshall,Senior
1,Revelle,Freshman
4,ERC,Freshman
1,Revelle,Sophomore
3,Marshall,Senior
3,Seventh,Freshman
1,Muir,Junior
2,Revelle,Sophomore
4,Seventh,Senior
2,Revelle,Junior
2,Muir,Junior
4,Marshall,Sophomore
4,Seventh,Freshman
5,Seventh,Sophomore
7,Marshall,Junior
5,Warren,Sophomore
3,Warren,Freshman
2,Warren,Sophomore
5,Revelle,Senior
5,Sixth,Senior
3,Warren,Freshman
2,Sixth,Sophomore
4,Sixth,Senior
5,Seventh,Junior
2,Muir,Sophomore
2,Revelle,Senior
6,ERC,Freshman
3,Muir,Freshman
5,ERC,Sophomore
2,Muir,Sophomore
2,Seventh,Junior
4,Revelle,Senior
3,ERC,Junior
4,Sixth,Freshman
2,Marshall,Freshman
4,ERC,Junior
3,Revelle,Sophomore
1,Revelle,Junior
1,Marshall,Senior
1,ERC,Junior
3,Marshall,Senior
5,Revelle,Freshman
2,Marshall,Sophomore
7,Marshall,Senior
3,Warren,Junior
2,Marshall,Senior
0,Muir,Junior
1,Muir,Senior
2,Marshall,Sophomore
1,Warren,Sophomore
0,Sixth,Freshman
0,Muir,Senior
1,Seventh,Senior
2,ERC,Senior
0,Marshall,Sophomore
4,Seventh,Senior
2,Seventh,Sophomore
1,Revelle,Freshman
1,Sixth,Senior
4,Seventh,Junior
2,Seventh,Senior
5,Seventh,Sophomore
2,Revelle,Sophomore
1,Warren,Sophomore
1,Marshall,Junior
3,ERC,Junior
1,Warren,Junior
1,Marshall,Sophomore
6,Revelle,Sophomore
1,Warren,Junior
1,Sixth,Freshman
2,Sixth,Senior
3,Sixth,Freshman
2,Seventh,Senior
7,Marshall,Junior
1,Revelle,Freshman
2,Marshall,Freshman
4,Revelle,Senior
2,Muir,Sophomore
2,Sixth,Junior
1,Warren,Senior
1,ERC,Sophomore
3,Seventh,Freshman
2,Marshall,Junior
4,Marshall,Junior
1,Marshall,Freshman
11,ERC,Freshman
2,Muir,Junior
2,Warren,Sophomore
4,Muir,Junior
2,Marshall,Freshman
5,Warren,Senior
5,Revelle,Sophomore
6,Muir,Sophomore
4,ERC,Sophomore
2,Revelle,Junior
4,Marshall,Senior
4,Sixth,Sophomore
2,ERC,Junior
0,Muir,Junior
5,Sixth,Junior
5,ERC,Senior
2,Warren,Sophomore
3,Sixth,Senior
1,Revelle,Senior
4,Sixth,Sophomore
3,ERC,Junior
4,Marshall,Junior
4,Warren,Freshman
5,Muir,Senior
7,Warren,Senior
3,Muir,Senior
0,Warren,Junior
1,Revelle,Freshman
2,ERC,Freshman
1,Sixth,Senior
0,Marshall,Junior
5,Marshall,Sophomore
3,Warren,Sophomore
3,Warren,Junior
2,ERC,Senior
3,Seventh,Sophomore
3,Revelle,Senior
7,Revelle,Junior
4,Revelle,Sophomore
2,Muir,Junior
2,Marshall,Freshman
2,Muir,Senior
1,Marshall,Senior
3,Marshall,Junior
3,Muir,Freshman
0,Muir,Senior
3,Seventh,Junior
6,Muir,Senior
4,ERC,Senior
4,Seventh,Freshman
2,Marshall,Freshman
6,Revelle,Junior
2,Sixth,Freshman
0,Warren,Freshman
2,Muir,Junior
3,Sixth,Freshman
4,ERC,Sophomore
2,Seventh,Senior
2,Seventh,Freshman
3,Muir,Sophomore
4,Sixth,Senior
1,ERC,Sophomore
2,Sixth,Junior
2,Warren,Freshman
2,Revelle,Senior
1,Warren,Senior
2,Revelle,Freshman
4,Warren,Freshman
3,Muir,Freshman
1,Revelle,Junior
3,Marshall,Senior
4,Revelle,Sophomore
2,Marshall,Freshman
2,Seventh,Sophomore
4,Marshall,Sophomore
4,Marshall,Junior
4,Warren,Sophomore
5,Muir,Freshman
4,Sixth,Sophomore
2,Muir,Senior
4,Marshall,Junior
3,Muir,Freshman
4,ERC,Junior
6,Muir,Junior
4,ERC,Senior
4,Sixth,Senior
5,Marshall,Senior
0,Sixth,Sophomore
5,Sixth,Sophomore
1,Sixth,Senior
5,ERC,Senior
5,Marshall,Sophomore
4,Seventh,Freshman
1,Marshall,Senior
0,Muir,Senior
4,Sixth,Freshman
3,Warren,Sophomore
3,Seventh,Junior
2,Revelle,Senior
2,ERC,Freshman
1,Sixth,Freshman
1,ERC,Senior
4,Sixth,Sophomore
3,Marshall,Sophomore
5,Warren,Freshman
1,Warren,Junior
2,Sixth,Freshman
5,Sixth,Junior
3,Marshall,Junior
1,Marshall,Senior
1,Warren,Senior
0,Muir,Sophomore
1,Muir,Junior
4,Seventh,Senior
2,Sixth,Sophomore
6,Seventh,Sophomore
1,Seventh,Sophomore
2,Revelle,Senior
4,Marshall,Sophomore
1,Sixth,Sophomore
6,Marshall,Freshman
1,Warren,Junior
3,Sixth,Junior
2,Muir,Sophomore
6,Sixth,Sophomore
5,Sixth,Junior
4,Sixth,Junior
3,Marshall,Sophomore
4,ERC,Freshman
1,Sixth,Senior
1,Warren,Freshman
1,Muir,Senior
3,Muir,Freshman
1,Warren,Senior
3,Sixth,Senior
3,ERC,Junior
2,Warren,Sophomore
7,Muir,Sophomore
3,Warren,Senior
2,Seventh,Sophomore
0,Muir,Senior
6,Muir,Junior
3,Warren,Junior
3,Seventh,Senior
5,Sixth,Sophomore
0,Sixth,Senior
2,Revelle,Junior
3,Revelle,Senior
3,Revelle,Freshman
2,Warren,Sophomore
3,Revelle,Sophomore
6,Sixth,Sophomore
1,Revelle,Freshman
2,Seventh,Sophomore
5,Revelle,Sophomore
3,Revelle,Senior
2,Marshall,Senior
5,Warren,Sophomore
2,Marshall,Junior
2,Muir,Freshman
1,Seventh,Junior
5,ERC,Sophomore
1,Revelle,Freshman
0,Revelle,Junior
5,Warren,Sophomore
1,Marshall,Sophomore
0,Warren,Sophomore
6,Marshall,Freshman
1,ERC,Sophomore
3,Muir,Sophomore
0,Sixth,Freshman
6,Seventh,Junior
3,Marshall,Sophomore
1,Marshall,Senior
3,Revelle,Freshman
4,ERC,Junior
3,Muir,Sophomore
6,Marshall,Junior
2,Muir,Freshman
5,ERC,Junior
1,Muir,Sophomore
3,Seventh,Freshman
1,ERC,Freshman
3,Marshall,Sophomore
3,Marshall,Freshman
5,Sixth,Freshman
2,Revelle,Senior
3,ERC,Senior
3,Seventh,Freshman
1,Marshall,Freshman
1,Warren,Senior
2,ERC,Sophomore
3,Muir,Junior
2,Warren,Sophomore
3,Warren,Junior
2,ERC,Sophomore
4,Sixth,Junior
1,Marshall,Sophomore
2,Sixth,Freshman
5,Muir,Sophomore
1,Warren,Sophomore
4,Marshall,Junior
1,ERC,Senior
3,Muir,Freshman
2,Sixth,Senior
1,Sixth,Freshman
1,Revelle,Senior
3,Seventh,Senior
4,Warren,Junior
4,Sixth,Sophomore
2,ERC,Sophomore
4,Sixth,Junior
3,Muir,Freshman
2,ERC,Sophomore
2,Marshall,Senior
3,Revelle,Sophomore
3,ERC,Freshman
3,Warren,Freshman
4,ERC,Junior
5,Revelle,Freshman
4,Marshall,Freshman
3,Seventh,Senior
1,Revelle,Junior
2,Revelle,Sophomore
6,Warren,Sophomore
2,Muir,Junior
3,Revelle,Senior
3,Muir,Sophomore
3,ERC,Freshman
3,Seventh,Freshman
5,Revelle,Senior
3,Seventh,Sophomore
1,ERC,Junior
3,Marshall,Senior
3,ERC,Freshman
5,Seventh,Sophomore
6,Warren,Sophomore
3,ERC,Junior
1,Revelle,Sophomore
3,ERC,Senior
4,Warren,Senior
2,Sixth,Junior
1,Revelle,Sophomore
2,Revelle,Sophomore
3,Marshall,Senior
1,Muir,Freshman
5,Seventh,Senior
2,Revelle,Sophomore
3,Marshall,Junior
3,Revelle,Junior
3,Sixth,Junior
2,Warren,Senior
1,Warren,Senior
5,Warren,Freshman
1,ERC,Freshman
0,Sixth,Freshman
3,Marshall,Senior
2,Warren,Junior
2,Sixth,Senior
3,Muir,Sophomore
5,ERC,Senior
2,Marshall,Senior
3,Revelle,Senior
2,Marshall,Sophomore
1,Revelle,Freshman
6,Sixth,Freshman
5,Sixth,Sophomore
3,ERC,Senior
2,Muir,Senior
1,Sixth,Sophomore
0,Muir,Senior
3,Marshall,Senior
1,Warren,Sophomore
1,Revelle,Junior
1,Warren,Junior
3,Marshall,Senior
2,Sixth,Senior
2,ERC,Junior
4,Seventh,Senior
1,Muir,Freshman
3,Warren,Senior
5,ERC,Sophomore
2,Marshall,Freshman
3,Muir,Senior
2,Sixth,Senior
4,Muir,Sophomore
3,Marshall,Senior
2,Muir,Junior
2,Warren,Senior
2,Muir,Sophomore
2,Seventh,Freshman
6,Revelle,Junior
0,Revelle,Sophomore
3,Revelle,Sophomore
1,Seventh,Freshman
1,Sixth,Senior
3,Marshall,Freshman
4,Muir,Sophomore
3,Seventh,Junior
1,Muir,Senior
2,Marshall,Sophomore
1,Sixth,Junior
0,Seventh,Sophomore
2,Sixth,Junior
6,Seventh,Junior
1,Marshall,Sophomore
3,Warren,Sophomore
7,Seventh,Sophomore
2,Sixth,Senior
5,Sixth,Freshman
6,Revelle,Sophomore
3,Sixth,Senior
5,Warren,Freshman
3,Muir,Junior
5,Sixth,Sophomore
4,Sixth,Sophomore
4,ERC,Sophomore
3,Seventh,Junior
1,Warren,Senior
3,Muir,Freshman
2,Revelle,Senior
2,Marshall,Senior
0,Warren,Sophomore
2,Seventh,Sophomore
4,Revelle,Sophomore
1,Warren,Senior
2,Marshall,Junior
6,Muir,Senior
1,Muir,Junior
4,Revelle,Freshman
2,Marshall,Sophomore
0,Warren,Junior
3,Warren,Sophomore
1,Marshall,Freshman
2,Marshall,Freshman
1,Seventh,Junior
2,Marshall,Sophomore
2,Revelle,Senior
1,Seventh,Sophomore
1,Marshall,Freshman
3,Muir,Senior
2,Seventh,Sophomore
4,Marshall,Junior
5,Revelle,Sophomore
2,Warren,Freshman
1,ERC,Senior
2,Sixth,Junior
2,Sixth,Junior
1,Marshall,Freshman
3,Seventh,Senior
0,Warren,Senior
4,Seventh,Sophomore
2,Muir,Senior
1,Warren,Junior
1,ERC,Senior
1,Muir,Senior
1,Marshall,Freshman
4,Marshall,Freshman
5,ERC,Sophomore
3,Muir,Senior
2,Muir,Sophomore
4,Muir,Junior
3,Muir,Senior
2,ERC,Sophomore
4,Marshall,Freshman
5,Marshall,Freshman
3,Seventh,Freshman
1,Seventh,Freshman
4,Marshall,Sophomore
2,Marshall,Freshman
1,Muir,Senior
1,ERC,Freshman
3,Revelle,Freshman
3,Sixth,Freshman
4,Sixth,Sophomore
2,Warren,Freshman
5,Muir,Senior
1,Revelle,Sophomore
5,Warren,Sophomore
2,Muir,Senior
2,ERC,Freshman
2,ERC,Junior
5,Marshall,Junior
3,Marshall,Freshman
2,Muir,Senior
3,Muir,Junior
7,Sixth,Junior
3,Revelle,Sophomore
2,Revelle,Junior
3,Warren,Senior
0,ERC,Junior
3,Revelle,Senior
4,Seventh,Sophomore
4,Seventh,Freshman
6,Marshall,Senior
4,ERC,Junior
5,Sixth,Senior
2,Marshall,Junior
1,Seventh,Sophomore
5,ERC,Senior
4,Sixth,Sophomore
2,Sixth,Sophomore
2,Marshall,Freshman
4,Marshall,Sophomore
6,Seventh,Senior
1,Sixth,Junior
4,ERC,Sophomore
2,Revelle,Sophomore
2,ERC,Junior
1,Sixth,Sophomore
1,Seventh,Junior
0,Muir,Sophomore
4,Seventh,Senior
3,ERC,Senior
3,Sixth,Senior
6,Warren,Freshman
2,Sixth,Junior
5,Muir,Sophomore
3,Revelle,Senior
1,Warren,Junior
4,Muir,Sophomore
3,Sixth,Junior
1,ERC,Senior
2,ERC,Sophomore
0,Muir,Junior
5,Seventh,Junior
3,Sixth,Sophomore
1,Sixth,Sophomore
3,Warren,Freshman
1,Warren,Sophomore
5,Marshall,Sophomore
3,Warren,Senior
4,Marshall,Senior
1,Warren,Sophomore
5,Revelle,Junior
4,Seventh,Junior
1,ERC,Freshman
6,Revelle,Senior
1,Sixth,Freshman
2,Revelle,Senior
3,Warren,Junior
1,Sixth,Freshman
4,Sixth,Junior
4,Warren,Sophomore
3,Revelle,Freshman
6,ERC,Junior
6,Seventh,Freshman
3,Muir,Senior
2,ERC,Senior
3,Warren,Senior
2,Seventh,Senior
4,ERC,Sophomore
3,Warren,Senior
3,Warren,Sophomore
2,Muir,Freshman
1,Marshall,Sophomore
4,Revelle,Junior
5,Seventh,Sophomore
1,Warren,Freshman
1,Revelle,Senior
1,Marshall,Freshman
4,Muir,Sophomore
2,Revelle,Sophomore
3,Sixth,Junior
4,Revelle,Freshman
3,Seventh,Sophomore
2,Muir,Freshman
8,Marshall,Sophomore
1,Seventh,Sophomore
3,Sixth,Junior
2,Sixth,Freshman
3,Warren,Junior
4,Marshall,Junior
4,Marshall,Sophomore
0,Warren,Senior
1,Marshall,Sophomore
2,Muir,Freshman
6,ERC,Freshman
3,Muir,Senior
3,ERC,Freshman
3,ERC,Senior
5,Seventh,Sophomore
0,Sixth,Senior
5,Muir,Junior
5,Sixth,Freshman
5,Warren,Sophomore
3,Revelle,Freshman
2,Warren,Senior
1,Revelle,Junior
4,Marshall,Junior
12,Revelle,Sophomore
3,Seventh,Freshman
3,Marshall,Senior
4,Sixth,Freshman
3,Muir,Freshman
4,Muir,Senior
2,Revelle,Senior
2,Sixth,Senior
3,Seventh,Sophomore
2,Revelle,Junior
8,Sixth,Senior
3,ERC,Junior
2,ERC,Sophomore
0,Revelle,Sophomore
4,Revelle,Senior
0,ERC,Freshman
1,Marshall,Sophomore
2,Muir,Sophomore
1,Warren,Senior
3,Sixth,Freshman
2,Sixth,Senior
3,Sixth,Freshman
6,ERC,Senior
4,Marshall,Freshman
1,ERC,Senior
1,Marshall,Sophomore
2,Seventh,Senior
1,ERC,Freshman
0,Muir,Senior
6,ERC,Freshman
4,Warren,Senior
2,Sixth,Junior
3,Seventh,Senior
7,ERC,Sophomore
4,Sixth,Freshman
4,Revelle,Junior
1,ERC,Sophomore
4,Revelle,Sophomore
5,Marshall,Sophomore
3,Sixth,Sophomore
4,Muir,Senior
3,Marshall,Senior
3,Warren,Freshman
1,Muir,Freshman
4,ERC,Junior
3,Marshall,Freshman
4,Sixth,Freshman
3,Revelle,Freshman
4,ERC,Freshman
3,Sixth,Junior
2,Muir,Sophomore
0,Sixth,Junior
1,Sixth,Sophomore
2,Sixth,Junior
3,Muir,Junior
3,Marshall,Junior
3,Marshall,Senior
5,ERC,Senior
1,Muir,Sophomore
2,Marshall,Junior
3,ERC,Junior
2,Muir,Freshman
3,ERC,Freshman
0,Warren,Junior
2,Marshall,Senior
2,Warren,Sophomore
4,Revelle,Junior
5,Muir,Junior
1,Muir,Sophomore
1,Marshall,Junior
1,Seventh,Sophomore
6,ERC,Freshman
2,Warren,Senior
2,Marshall,Freshman
3,Sixth,Junior
9,Seventh,Senior
5,Revelle,Sophomore
4,Sixth,Junior
4,Seventh,Junior
2,Warren,Junior
3,Muir,Senior
1,Sixth,Freshman
3,Sixth,Sophomore
4,Warren,Freshman
2,Sixth,Junior
3,Revelle,Junior
5,Marshall,Junior
2,Marshall,Junior
2,Seventh,Junior
2,Sixth,Sophomore
3,Sixth,Sophomore
1,ERC,Freshman
8,ERC,Junior
1,Revelle,Senior
2,Revelle,Senior
4,Muir,Junior
2,Sixth,Junior
2,Sixth,Sophomore
6,Revelle,Senior
2,Marshall,Senior
2,Warren,Freshman
2,Revelle,Freshman
5,Marshall,Sophomore
5,Muir,Senior
4,Warren,Junior
2,ERC,Sophomore
5,Revelle,Junior
2,ERC,Sophomore
1,Sixth,Junior
5,Warren,Junior
2,ERC,Freshman
1,Muir,Freshman
4,ERC,Sophomore
1,ERC,Sophomore
1,Warren,Sophomore
2,ERC,Freshman
1,ERC,Freshman
1,Muir,Sophomore
1,Seventh,Freshman
3,ERC,Sophomore
0,Sixth,Freshman
1,Seventh,Freshman
1,ERC,Sophomore
1,Seventh,Sophomore
1,Revelle,Senior
4,Warren,Junior
3,Sixth,Freshman
0,Revelle,Senior
2,Warren,Senior
1,Muir,Senior
1,Revelle,Freshman
0,Revelle,Junior
5,Sixth,Freshman
4,Revelle,Junior
2,Marshall,Freshman
6,Muir,Junior
5,ERC,Sophomore
7,Seventh,Freshman
2,Seventh,Freshman
1,Marshall,Junior
3,Sixth,Freshman
5,Sixth,Sophomore
2,Warren,Senior
3,Muir,Sophomore
2,Marshall,Junior
0,Warren,Junior
3,Warren,Senior
5,Seventh,Freshman
7,Warren,Junior
3,Muir,Sophomore
2,Muir,Senior
4,Seventh,Senior
3,Muir,Sophomore
3,Muir,Senior
1,Marshall,Senior
2,ERC,Sophomore
0,Seventh,Junior
5,ERC,Senior
1,Seventh,Senior
2,Sixth,Junior
2,Warren,Senior
0,Revelle,Sophomore
1,Warren,Senior
4,Muir,Junior
1,Sixth,Senior
2,Sixth,Junior
2,ERC,Senior
2,Warren,Sophomore
2,ERC,Sophomore
2,Seventh,Junior
4,ERC,Junior
3,Warren,Sophomore
4,Revelle,Sophomore
3,Seventh,Sophomore
3,Revelle,Sophomore
6,Muir,Senior
3,Warren,Sophomore
5,Marshall,Sophomore
2,ERC,Freshman
3,Seventh,Senior
1,Muir,Freshman
6,ERC,Freshman
6,Warren,Senior
4,Revelle,Freshman
2,ERC,Freshman
5,Muir,Senior
3,Revelle,Junior
2,Sixth,Sophomore
5,Seventh,Senior
1,Marshall,Junior
7,Revelle,Sophomore
6,Sixth,Junior
1,Warren,Sophomore
1,Seventh,Junior
2,ERC,Freshman
0,Revelle,Senior
5,Revelle,Sophomore
4,ERC,Senior
3,Marshall,Junior
2,Revelle,Senior
2,Sixth,Senior
2,ERC,Freshman
4,Revelle,Sophomore
2,Revelle,Freshman
2,Seventh,Junior
3,Warren,Junior
2,Warren,Junior
8,Sixth,Sophomore
3,Marshall,Sophomore
1,Warren,Sophomore
3,Warren,Freshman
4,Warren,Freshman
1,Marshall,Sophomore
1,Muir,Sophomore
